Ticker,Drug,Stage,Catalyst
MDCO,Oritavancin  ABSSSI,Approved,"08/06/2014  Approved August 6, 2014 under priority review"
KERX,Auryxia  Hyperphosphatemia,Approved,"09/05/2014  Approved Sept 5, 2014."
HALO,HYQVIA  Subcutaneous treatment for patients with primary immunodeficiency (PI),Approved,"09/12/2014  Approved September 12, 2014."
NKTR,MOVANTIK (Naloxegol)  Opioid-induced constipation (OIC),Approved,"09/16/2014  Approved September 16, 2014."
ALIM,Iluvien  Diabetic macular edema,Approved,"09/26/2014  Approved September 26, 2014,"
PGNX,Subcutaneous RELISTOR  Chronic pain,Approved,"09/29/2014  Approved September 29, 2014."
AEZS,Macimorelin Acetate - Macrilen  Adult Growth Deficiency,Approved,"11/06/2014  CRL issued November 6, 2014."
INCY,Jakafi (ruxolitinib) (RESPONSE)  Polycythemia Vera,Approved,"12/04/2014  Approved December 4, 2014."
ARLZ,YOSPRALA (PA32540/PA8140) Secondary prevention of cardiovascular disease in patients at risk for aspirin-induced gastric ulcers,Approved,"12/17/2014  CRL issued December 17, 2014."
ABBV,VIEKIRA PAK  HCV - genotype 1,Approved,"12/19/2014  Approved December 19, 2014."
BCRX,RAPIVAB (peramivir)  INFLUENZA ACUTE,Approved,"12/22/2014  Approved December 22, 2014."
ADMS,Namzaric  Moderate to severe dementia of the Alzheimer's type.,Approved,"12/24/2014  Approved December, 24 2014."
VRTX,KALYDECO  Cystic fibrosis (CF) ages 6 and older who have the R117H mutation,Approved,"12/29/2014  Approved December 29, 2014."
NBIX,Elagolix Endometriosis,Approved,"01/08/2015  First Phase 3 trial met both co-primary endpoints - January 8, 2015."
ABBV,Elagolix Endometriosis,Approved,"01/08/2015  First Phase 3 trial met both co-primary endpoints - January 8, 2015."
RMTI,Soluble Ferric Pyrophosphate  Iron deficiency,Approved,"01/26/2015  Approved January 26, 2015."
ABBV,IMBRUVICA  Waldenström’s Macroglobulinemia,Approved,"01/29/2015  Approved January 29, 2015 - PCYC"
ZGNX,Abuse deterrent formulations of Zohydro ER  Moderate to severe pain,Approved,"01/30/2015  Approved January 30, 2015."
PCRX,EXPAREL  Post surgical pain,Approved,"03/02/2015  CRL March 2, 2015."
PCRX,EXPAREL  Post surgical pain,PDUFA,"03/02/2015  CRL March 2, 2015."
NKTR,Etirinotecan pegol NKTR-102 (BEACON)  Cancer - Metastatic Breast Cancer,Phase 3,"03/17/2015  Phase 3 topline data mid March 17, 2015 did not reach primary endpoint."
VRTX,KALYDECO (ivacaftor)  Children ages 2 to 5 with cystic fibrosis who have the G551D or one of the eight additional gating mutations,Approved,"03/17/2015  Approved March 17, 2015."
ADMP,Epinephrine Pre-filled Syringe (PFS) Emergency treatment of anaphylaxis.,Approved,03/25/2015  CRL issued March 27 2015.
EBS,Anthrax Immune Globulin Intravenous (Human) [AIGIV] Anthrax,Approved,"03/25/2015  Approved March 25, 2015."
AMGN,Corlanor  Chronic Heart Failure,Approved,"04/15/2015  Approved April 15, 2015."
MNTA,Generic Copaxone  Multiple sclerosis,Approved,04/16/2015  Approved April 16 2015.
MNK,RAPLIXA  Hemostasis,Approved,"04/30/2015  Approved April 30, 2015."
TBPH,BREO ELLIPTA  Asthma,Approved,"04/30/2015  Approved April 30, 2015."
PTX,TREXIMET  Adolescent migraine patients,Approved,"05/15/2015  Approved May 15, 2015."
VRTX,Lumacaftor and ivacaftor  Cystic fibrosis (CF) ages 12 and older who have two copies of the F508del mutation,Approved,"07/02/2015  Approved July 2, 2015."
NYMX,NX-1207 Fexapotide BPH,Phase 3,07/27/2015  Phase 3 endpoints met in extension trial July 2015.
SGEN,ADCETRIS - AETHERA  Post-transplant Hodgkin lymphoma (HL) cancer,Approved,"08/17/2015  Approved August 17, 2015 under priority review."
VTL,"VTI-308  Alcohol-induced liver decompensation, or AILD",Phase 3,"08/21/2015  Phase 3 VTI-208 trial did not meet endpoints - August 21, 2015."
TTPH,Eravacycline (TP-434) - IGNITE3  cUTI - complicated urinary tract infections,Phase 3,"09/08/2015  Phase 3 trial did not meet endpoints September 8, 2015."
IMGN,Kadcyla GATSBY trial  Cancer - metastatic HER2+ gastric cancer,Phase 3,"10/22/2015  Phase 3 endpoint not met - October 22, 2015."
MACK,ONIVYDE  Cancer - second line pancreatic,Approved,"10/22/2015  Approved October 22, 2015."
SPPI,EVOMELA (melphalan) for Injection  Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,"10/23/2015  CRL issued October 23, 2015."
BDSI,BEMA Buprenorphine  Pain,Approved,"10/25/2015  Approved October 26, 2015."
ENDP,"BEMA Buprenorphine  Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",Approved,"10/26/2015  Approved October 26, 2015."
GWPH,Sativex  Cancer pain,Phase 3,10/27/2015  Phase 3 trials did not meet endpoints.
LPTX,CureXcell  Diabetic Foot Ulcers,Phase 3,10/27/2015  Phase 3 trial did not meet primary endpoint.
SPHS,Topsalysin (PRX302)  Benign prostatic hyperplasia,Phase 3,"11/10/2015  Phase 3 primary endpoints met - November 10, 2015."
EXEL,Vemurafenib  BRAF V600 Mutation-Positive Advanced Melanoma - Cancer,Approved,"11/10/2015  Approved November 10, 2015."
NKTR,ADYNOVATE  Hemophilia A,Approved,"11/16/2015  Approved November 16, 2015."
EBS,BioThrax Anthrax Vaccine Adsorbed,Approved,"11/24/2015  Approved November 24, 2015."
OTIC,OTIPRIO (ciprofloxacin otic suspension) Ear Tube Placement Surgery,Approved,"12/11/2015  Approved December 11, 2015."
ADMS,ADS-5102  Levodopa-Induced Dyskinesia,Approved,"12/23/2015  Phase 3 data released December 23, 2015."
EGRX,"Docetaxel Injection  Breast, non-small cell lung, prostate gastric adenocarcinoma, and head and neck cancer",Approved,"12/24/2015  Approved December 24, 2015."
CHRS,CHS-0214  Rheumatoid arthritis,Phase 3,"01/11/2016  Phase 3 data released January 2016. Endpoints met. However, commercialization not possible in US before 2029 due to patent issues"
BMRN,Kyndrisa  Duchenne Muscular Dystrophy (DMD),CRL,01/14/2016  CRL issued January 14 2016.
ZFGN,Beloranib  Prader-Willi Syndrome (PWS),Phase 3,01/20/2016  Phase 3 co-primary endpoints met.
NEOS,Adzenys XR-ODT  Attention deficit hyperactivity disorder (ADHD),Approved,"01/27/2016  Approved January 27, 2016."
VRTX,KALYDECO (ivacaftor)  Cystic fibrosis (CF) ages 2 and older who have one of 23 residual function mutations.,CRL,"02/05/2016  CRL issued February 5, 2016."
NBIX,Elagolix Endometriosis,Approved,02/10/2016  First Phase 3 trial met both co-primary endpoints - Jan 2015. Data from second Phase 3 released February 2016 also met endpoints.
ABBV,Elagolix Endometriosis,Approved,02/10/2016  First Phase 3 trial met both co-primary endpoints - Jan 2015. Data from second Phase 3 released February 2016 also met endpoints.
RDHL,RHB-105 - ERADICATE Hp 2  H. pylori,Phase 3,"03/08/2016  Phase 3 final data released March 8, 2016."
GWPH,Epidiolex  Dravet Syndrome and Lennox-Gastaut syndrome,Approved,"03/14/2016  Top line Phase 3 data released March 14, 2016 met primary endpoint."
SPPI,EVOMELA (melphalan) for Injection  Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,03/15/2016  Approved March 15 2016.
EGRX,KANGIO (bivalirudin injection)  Percutaneous Coronary Intervention (PCI) and Percutaneous Transluminal Coronary Angioplasty (PTCA),CRL,03/18/2016  CRL March 18 2016. FDA requested further characterization of bivalirudin-related substances in the drug product.
PTLA,Bevyxxa (betrixaban)  Venous thromboembolism (VTE) Prevention,Approved,"03/24/2016  Phase 3 data released March 24, 2016 did not meet primary endpoint."
OPK,RAYALDEE  Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,Approved,"03/30/2016  CRL issued March 30, 2016."
CHMA,Mycapssa  Acromegaly,CRL,"04/15/2016  CRL April 15, 2016."
EXEL,CABOMETYX (cabozantinib)  Metastatic renal cell cancer (RCC),Approved,"04/25/2016  Approved April 25, 2016."
ACAD,Pimavanserin  Parkinson’s disease psychosis (PDP),Approved,"04/29/2016  Approved April 29, 2016."
AVDL,Akovaz  Hypotension,Approved,"05/02/2016  Approved May 2, 2016."
NLNK,HyperAcute Pancreas - IMPRESS  Surgically resected pancreatic cancer,Phase 3,"05/09/2016  Phase 3 failed to meet primary endpoint - May 9, 2016."
AZN,Lokelma (ZS-9)  Hyperkalaemia,Approved,"05/26/2016  CRL issued May 26, 2016."
TTNP,Probuphine  Opioid dependence,Approved,"05/26/2016  CRL issued April 30, 2013. Approved May 26, 2016."
VNDA,Fanapt Supplemental New Drug Application (sNDA) as a maintenance treatment of schizophrenia in adults.,Approved,"05/26/2016  Approved May 26, 2016."
ICPT,Obeticholic acid (Ocaliva)  Primary biliary cirrhosis (PBC) - POISE,Approved,05/27/2016  Approved May 27 2016.
OCUL,DEXTENZA  Allergic conjunctivitis,Phase 3,"06/06/2016  Phase 3 trial did not meet primary endpoint - June 6, 2016."
ADMP,Epinephrine Pre-filled Syringe (PFS) Emergency treatment of anaphylaxis.,Approved,"06/06/2016  CRL issued March 27 2015. CRL issued again June 6, 2016."
MRNS,Ganaxolone  Focal onset seizures,Phase 3,"06/13/2016  Phase 3 data did not meet endpoints - June 13, 2016"
RVNC,RT001 - REALISE 1  Lateral Canthal (Crow’s Feet) Lines,Phase 3,"06/13/2016  Phase 3 endpoints not met June 13, 2016."
KMPH,Apadaz (KP201/APAP)  Acute pain,PDUFA,"06/13/2016  CRL issued June 13, 2016."
PRTK,Omadacycline  Acute bacterial skin and skin structure infections (ABSSSI),Approved,"06/16/2016  Phase 3 top-line data met endpoints - June 16, 2016"
OPK,RAYALDEE  Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,Approved,"06/21/2016  Announced FDA Approval June 21, 2016."
MDCO,Meropenem-vaborbactam  Complicated urinary tract infections (cUTI),Approved,"06/27/2016  Phase 3 data met endpoints June 27, 2016."
CLVS,Rociletinib Mutant EGFR T790M-positive lung cancer,CRL,"06/28/2016  CRL June 28, 2016. Phase 3 TIGER-3 also terminated."
LPCN,LPCN 1021  Men with low testosterone (Low T),-,"06/29/2016  CRL issued June 29, 2016."
TSRO,Niraparib - NOVA (Niraparib Ovarian) Cancer - ovarian,Approved,06/29/2016  Phase 3 data met endpoints - June 2016.
AMPE,Ampion  Osteoarthritis of the Knee,Phase 3,06/30/2016  STRIDE study mid April 2015 did not meet endpoint. Second Phase 3 trial also did not meet primary endpoint - June 2016
INSY,Dronabinol Oral Solution  AIDS-related anorexia,Approved,"07/05/2016  Announced approval July 5, 2016."
CYTR,Aldoxorubicin with doxorubicin  Soft tissue sarcomas refractory cancer,Phase 3,"07/11/2016  Phase 3 PFS data released July 2016 showed no significant improvement in PFS. Second analysis released November 29, 2016 showed improvement in population with leiomyosarcoma and liposarcoma."
RARE,MEPSEVII (vestronidase alfa)  Mucopolysaccharidosis 7 (MPS 7),Approved,07/14/2016  Phase 3 data released July 2016. Primary endpoint hit. Secondary missed.
PGNX,Oral RELISTOR  Chronic pain,Approved,07/19/2016  Approved July 19 2016.
OCUL,DEXTENZA  Ocular inflammation and pain following cataract surgery,PDUFA,07/25/2016  CRL July 25 2016 - due to manufacturing deficiencies.
MCRB,SER-109 - ECOSPOR III  Recurrent C. Difficile infection,Phase 3,07/29/2016  Phase 2 interim data did not meet primary endpoint.
ADMA,RI-002  Primary Immune Deficiency Diseases,PDUFA,07/29/2016  CRL issued July 29 2016. Third-party manufacturing issues cited.
IONS,SPINRAZA - Nusinersen  Spinal muscular atrophy (SMA),Approved,"08/01/2016  Phase 3 ENDEAR trial met primary endpoint August 1, 2016."
HRTX,APF530 - Sustol  Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),Approved,"08/10/2016  CRL Mar 28 2013. Approved August 10, 2016."
VTVT,TTP399 - AGATA  Type 2 Diabetes,Phase 2b,"08/10/2016  Phase 2 data released August 10, 2016. Primary endpoint met."
AUPH,Voclosporin - AURORA  Lupus,Phase 3,08/15/2016  Phase 2b data released August 2016. Primary endpoint met but with high number of deaths.
ACRX,DSUVIA (ARX-04)  Moderate-to-severe acute pain following a surgical procedure,Approved,"08/15/2016  Phase 3 data released August 15, 2016."
PTLA,Andexxa  Factor Xa inhibitor reversal agent,PDUFA,08/17/2016  CRL August 17 2016.
ACRS,A-101 THWART-1 and THWART-2  Common warts (verruca vulgaris),Phase 3,08/18/2016  Phase 2 data released August 2016.
EARS,AM-101 (Keyzilen) - TACTT2  Acute inner ear tinnitus,Phase 3,08/18/2016  Phase 3 trial did not meet primary endpoints.
LPTX,CureXcell  Venous Leg Ulcers,Phase 3,"08/19/2016  Phase 3 endpoint not expected to be met - August 19, 2015."
RIGL,Tavalissetm (Fostamatinib)  Immune Thrombocytopenic Purpura (ITP),PDUFA,08/30/2016  Phase 3 data from the first trial released August 30 2016. Primary endpoint met.
KMDA,Inhaled formulation of AAT  AATD - Alpha-1 Antitrypsin deficiency,Phase 2,"08/30/2016  Top-line data released August 30, 2016. Primary endpoint met"
RIGL,Tavalissetm (Fostamatinib)  Immune Thrombocytopenic Purpura (ITP),Approved,08/30/2016  Phase 3 data from the first trial released August 30 2016. Primary endpoint met.
RIGL,Tavalissetm (Fostamatinib)  Immune Thrombocytopenic Purpura (ITP),Approved,08/30/2016  Phase 3 data from the first trial released August 30 2016. Primary endpoint met.
OPK,"Rolapitant  Prevention of chemotherapy induced nausea and vomiting, or CINV",Approved,"09/02/2016  Approved September 2, 2015."
TSRO,"Rolapitant  Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",Approved,"09/02/2016  Approved September 2, 2015."
TNXP,TNX-102 SL Fibromyalgia,Phase 3,"09/06/2016  Phase 3 data released September 6, 2016. Primary endpoint not met. Program discontinued"
KPTI,Selinexor  Quadruple Refractory Multiple Myeloma,PDUFA priority review,"09/06/2016  Phase 2 positive top-line data released September 6, 2016"
AERI,Roclatan  Glaucoma,PDUFA,"09/14/2016  Phase 3 Mercury 1 data released September 14, 2016. Primary endpoint met."
NVAX,RSV vaccine - Resolve trial  Respiratory Syncytial Virus (RSV) in older adults,Phase 3,"09/15/2016  Phase 3 released September 15, 2016 did not demonstrate efficacy."
ARLZ,YOSPRALA (PA32540/PA8140) Secondary prevention of cardiovascular disease in patients at risk for aspirin-induced gastric ulcers,Approved,"09/15/2016  Approval announced September 15, 2016."
VICL,ASP0113 Vaccine  Kidney transplant recipients,Phase 2,"09/19/2016  Phase 2 data released September 19, 2016 - did not meet primary endpoint."
SRPT,Eteplirsen - Exon 51  Duchenne muscular dystrophy,Approved,"09/19/2016  Approved September 19, 2016."
DRRX,Remoxy  Chronic pain,CRL,"09/26/2016  CRL received September 26, 2016."
PTIE,Remoxy  Chronic pain,CRL,"09/26/2016  CRL received September 26, 2016."
GILD,Yescarta (axicabtagene ciloleucel)  Refractory Non-Hodgkin's Lymphoma (NHL) - cancer,Phase 2,"09/26/2016  Phase 2 pivotal top-line data released September 26, 2016. Primary analysis due 1Q 2017. BLA filing due late 2016."
ITCI,Lumateperone  Schizophrenia,NDA Filing,"09/28/2016  Phase 3 trial failed - September 28, 2016."
GNCA,GEN-003  Genital herpes,-,09/29/2016  Phase 2b virologic efficacy data released September 2016.
ABUS,ARB-1467  Hepatitis B (HBV),Phase 2,09/29/2016  Phase 2 single dose data released September 2016.
MLNT,Solithromycin  NASH,Phase 2,"09/30/2016  Phase 2 interim data released September 30, 2016."
TENX,Levosimendan  Septic shock,Phase 2b,10/05/2016  Phase 2b trial did not meet primary endpoint.
ALNY,Revusiran ENDEAVOUR  ATTR in patients with familial amyloidotic cardiomyopathy (FAC),Phase 3,10/05/2016  Phase 3 trial discontinued October 2016.
ALKS,ALKS 5461  Major depressive disorder,PDUFA,"10/20/2016  Phase 3 data from first two trials did not meet their endpoints. FORWARD-5 data, the third of three trials did meet endpoints - October 2016."
PLXP,Locilex  Mild infections of diabetic foot ulcers,Phase 3,"10/25/2016  Phase 3 top-line data did not meet endpoints - October 25, 2016 - TICKER CHANGED FROM DPRX FOLLOWING MERGER"
RIGL,Tavalissetm (Fostamatinib)  Immune Thrombocytopenic Purpura (ITP),PDUFA,10/30/2016  Phase 3 data from second trial did not meet the primary endpoint.
RIGL,Tavalissetm (Fostamatinib)  Immune Thrombocytopenic Purpura (ITP),Approved,10/30/2016  Phase 3 data from second trial did not meet the primary endpoint.
AMAG,Rekynda (Bremelanotide)  Female sexual dysfunction (FSD),PDUFA,"11/01/2016  Phase 3 data released November 1, 2016."
PTN,Rekynda (Bremelanotide)  Female sexual dysfunction (FSD),PDUFA,"11/01/2016  Phase 3 data released November 1, 2016."
IONS,SPINRAZA - Nusinersen  Spinal muscular atrophy (SMA),Approved,"11/07/2016  Phase 3 CHERISH data met primary endpoint - November 7, 2016."
ANTH,Blisibimod  Lupus,Phase 3,"11/10/2016  Phase 3 trial did not meet endpoints - November 10, 2016."
DVAX,HEPLISAV-B Hepatitis B,Approved,"11/14/2016  CRL November 14, 2016"
ALNY,Inclisiran - ORION-9  Hypercholesterolemia,Phase 3,"11/15/2016  Phase 2 Day 180 data presented at AHA Scientific Sessions on November 15, 2016."
MDCO,Inclisiran - ORION-9  Hypercholesterolemia,Phase 3,"11/15/2016  Phase 2 Day 180 data presented at AHA Scientific Sessions on November 15, 2016."
ACRS,ESKATA (hydrogen peroxide)  Seborrheic keratosis (SK),Approved,"11/15/2016  Phase 3 trial met endpoints - November 15, 2016."
BSTC,XIAFLEX (collagenase clostridium histolyticum) - RELEASE  Edematous fibrosclerotic panniculopathy (“cellulite”),Phase 3,"11/17/2016  Phase 2b data released November 17, 2016. Met endpoints"
ENDP,XIAFLEX (collagenase clostridium histolyticum) - RELEASE  Edematous fibrosclerotic panniculopathy (“cellulite”),Phase 3,"11/17/2016  Phase 2b data released November 17, 2016. Met endpoints"
SPPI,QAPZOLA - Apaziquone  Bladder cancer,Phase 3,"11/17/2016  Failed to meet primary endpoint in Phase 3 trial - Apr 2012. PDUFA date December 11 2016. Advisory Committee Meeting September 14 2016 voted 14 - 0 against approval. CRL issued November 17, 2016. Considering further trials."
ACOR,Dalfampridine  Post stroke deficits,Phase 3,"11/21/2016  Phase 3 data released November 21, 2016 - failed to show efficacy, development to be discontinued."
REPH,Intravenous (IV) meloxicam Acute pain following bunionectomy surgery,PDUFA,"11/28/2016  Phase 3 data from second trial released November 28, 2016. Primary endpoint met."
NOVN,SB206  Human papillomavirus (HPV),Phase 2,"11/29/2016  Phase 2 data released November 29, 2016. Primary endpoint met."
CERC,CERC-301  Major depressive disorder (MDD),Phase 2,"11/29/2016  Phase 2 top-line data released November 29, 2016 failed to meet primary endpoint."
HTBX,HS-410  Bladder cancer,Phase 2,"11/30/2016  Phase 2 trial did not meet primary endpoint - November 30, 2016."
ARDM,Linhaliq (Pulmaquin)  Non-cystic fibrosis bronchiectasis (non-CF BE).,CRL,"12/01/2016  Phase 3 data released December 1, 2016. One of two trials met primary endpoint."
